Date,Symbol,Column1,Std deviation,Annual std dev,Roc
2026-09-17 15:29,AVALON,7447.6658,3.615,54.235,128.9293
2026-09-17 15:29,NIFTYMIDLIQ15,7283.0071,0.987,18.8197,8.0872
2026-09-17 15:29,TCPLPACK,7273.3956,3.4364,44.5738,11.8303
2026-09-17 15:29,KMEW,6924.8598,3.8422,62.3383,125.4095
2026-09-17 15:29,AZAD,6903.1538,2.9685,42.4198,56.4087
2026-09-17 15:29,SHAILY,6803.9252,2.4492,51.9293,32.2269
2026-09-17 15:29,MACPOWER,6723.9227,3.8782,53.7291,121.306
2026-09-17 15:29,GLAND,6553.9957,2.6132,33.2156,43.7512
2026-09-17 15:29,HAPPYFORGE,6498.7993,2.3641,36.278,122.1508
2026-09-17 15:29,FLUOROCHEM,6473.3716,1.9441,32.1197,17.6387
2026-09-17 15:29,NEOGEN,6462.8305,2.7725,49.6668,51.2278
2026-09-17 15:29,STYLAMIND,6400.1923,2.567,36.0469,89.0368
2026-09-17 15:29,BALAMINES,6347.4768,4.3412,55.6204,44.9315
2026-09-17 15:29,LAURUSLABS,6186.5424,1.795,29.8219,109.0012
2026-09-17 15:29,RUBICON,6162.3559,3.371,1.7e+308,1.7e+308
2026-09-17 15:29,NIFTY200ALPHA30,6139.1016,0.9754,18.9809,2.6306
2026-09-17 15:29,WELINV,6055.3759,2.8225,53.9303,125.2475
2026-09-17 15:29,KIRLOSENG,5891.6507,3.4035,47.0716,119.831
2026-09-17 15:29,TORNTPHARM,5804.8256,1.5509,21.9006,34.3271
2026-09-17 15:29,VENUSPIPES,5786.2204,2.9519,45.2758,52.6787
2026-09-17 15:29,MPSLTD,5781.8795,3.2787,45.4222,12.9734
2026-09-17 15:29,CNXENERGY,5767.9301,0.7824,15.8194,4.5768
2026-09-17 15:29,SWANDEF,5752.7316,2,1533.7682,395.0059
2026-09-17 15:29,RRKABEL,5747.1491,2.956,38.9199,90.4022
2026-09-17 15:29,NIFTYMETAL,5676.4484,1.1636,22.4252,28.7145
2026-09-17 15:29,RPEL,5654.1238,3.5488,52.7791,144.3394
2026-09-17 15:29,INOXINDIA,5556.7561,3.3624,42.1148,63.3798
2026-09-17 15:29,MCX,5487.297,2.3087,39.4786,102.7697
2026-09-17 15:29,WABAG,5332.8736,3.0136,41.378,32.4059
2026-09-17 15:29,ARIHANT,5284.1898,3.3828,2177.0737,3245.8957
2026-09-17 15:29,RPGLIFE,5265.2745,2.8232,37.2904,15.7155
2026-09-17 15:29,ATHERENERG,5233.6458,3.1416,50.6133,165.1839
2026-09-17 15:29,ATLANTAELE,5083.2537,3.162,1.7e+308,1.7e+308
2026-09-17 15:29,LUMAXIND,5069.299,2.3136,50.5786,30.987
2026-09-17 15:29,VENUSREM,5056.5863,3.3221,54.0594,259.3323
2026-09-17 15:29,FINEORG,4894.4118,1.5944,29.3975,6.0421
2026-09-17 15:29,GVT&D,4891.9302,2.971,45.0101,41.4606
2026-09-17 15:29,RACLGEAR,4874.5651,3.0875,57.6578,101.4206
2026-09-17 15:29,NIFTYMIDSELECT,4818.4345,0.875,17.7696,8.9222
2026-09-17 15:29,CAPLIPOINT,4780.9198,2.5426,34.2294,10.8237
2026-09-17 15:29,INGERRAND,4757.9736,2.4136,31.3718,6.5356
2026-09-17 15:29,SYRMA,4645.7208,2.7336,44.5923,95.4806
2026-09-17 15:29,PRUDENT,4630.8365,2.3027,37.4427,12.044
2026-09-17 15:29,NIFTYMULTIMFG,4597.6612,0.7373,15.3219,2.9514
2026-09-17 15:29,HESTERBIO,4566.3391,3.6395,42.3549,11.1122
2026-09-17 15:29,PRIVISCL,4545.873,1.7696,35.0212,42.6155
2026-09-17 15:29,ANANDRATHI,4537.8105,1.1552,21.9314,45.1282
2026-09-17 15:29,AXISCADES,4519.826,2.8852,49.8815,10.0071
2026-09-17 15:29,PARAS,4513.3139,3.9226,51.4702,83.2632
2026-09-17 15:29,TIIL,4503.0801,2.3348,39.7672,20.9383
2026-09-17 15:29,HAL,4468.3513,1.6237,27.5662,-2.6077
2026-09-17 15:29,KRN,4463.7004,3.1118,48.554,57.6011
2026-09-17 15:29,BETA,4436.1026,4.0927,1.7e+308,1.7e+308
2026-09-17 15:29,TVSSRICHAK,4421.8383,2.821,42.9052,52.1455
2026-09-17 15:29,ASTRAMICRO,4379.0465,2.8262,42.2333,40.9362
2026-09-17 15:29,NIFTYMIDCAP50,4375.0103,0.8018,16.3958,6.582
2026-09-17 15:29,TITAN,4341.2157,1.5012,23.254,39.6228
2026-09-17 15:29,RATNAMANI,4335.0147,2.7794,45.2296,11.9831
2026-09-17 15:29,THERMAX,4321.9897,2.6527,35.323,7.9181
2026-09-17 15:29,ADANIENT,4321.3705,2.2113,36.1327,15.8162
2026-09-17 15:29,SAILIFE,4315.7884,1.9929,34.4096,69.1786
2026-09-17 15:29,STLTECH,4309.5869,3.5426,63.1208,567.837
2026-09-17 15:29,SAKAR,4293.1526,3.838,54.0594,228.6442
2026-09-17 15:29,UNIVCABLES,4221.2123,4.455,59.0898,79.547
2026-09-17 15:29,KIRLOSIND,4194.8556,3.0759,42.1364,-10.5438
