date,time,group,% 3 quarter ago,% 2 quarter ago,% 1 quarter ago,% current quarter,change in % in 3 qtrs,change in % in 1 qtr
2026-09-04,15:29,CONSUMER,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308
2026-09-04,15:29,CONSUMIETF,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308
2026-09-04,15:29,CORDELIA,1.7e+308,1.7e+308,1.7e+308,1.0906,1.7e+308,1.7e+308
2026-09-04,15:29,CORDSCABLE,0.0849,0.5504,0.5589,0.5923,0.5074,0.0334
2026-09-04,15:29,CORONA,1.7e+308,1.7e+308,6.764,7.0167,1.7e+308,0.2527
2026-09-04,15:29,CPL,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308
2026-09-04,15:29,CPSEETF,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308
2026-09-04,15:29,CRAFTSMAN,24.3732,25.2371,28.2866,32.8968,8.5236,4.6102
2026-09-04,15:29,CRAVATEX,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308
2026-09-04,15:29,CROMPTON,61.2463,65.7498,66.1373,66.4725,5.2262,0.3352
2026-09-04,15:29,CRSL,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308
2026-09-04,15:29,CSLFINANCE,0.9594,1.3417,2.9068,3.5437,2.5843,0.6369
2026-09-04,15:29,CSM,1.7e+308,1.7e+308,1.7e+308,5.0956,1.7e+308,1.7e+308
2026-09-04,15:29,CUB,36.7512,40.2406,40.735,44.854,8.1028,4.119
2026-09-04,15:29,DABUR,17.396,18.3833,18.5638,18.7222,1.3262,0.1584
2026-09-04,15:29,DATAPATTNS,9.7937,10.2719,11.6767,11.9822,2.1885,0.3055
2026-09-04,15:29,DECNGOLD,1.7e+308,1.7e+308,0.2351,0.5307,1.7e+308,0.2956
2026-09-04,15:29,DEEP,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308
2026-09-04,15:29,DEEPAKFERT,12.6012,13.1663,13.2378,14.6861,2.0849,1.4483
2026-09-04,15:29,DEEPAKNTR,22.6995,23.2017,23.4693,23.7597,1.0602,0.2904
2026-09-04,15:29,DEFENCE,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308
2026-09-04,15:29,DELHIVERY,32.0539,34.9823,36.2637,43.0802,11.0263,6.8165
2026-09-04,15:29,DHABRIYA,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308
2026-09-04,15:29,DHAMPURSUG,0.4823,0.581,0.8263,1.1354,0.6531,0.3091
2026-09-04,15:29,DHATRE,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308
2026-09-04,15:29,DISAQ,1.7e+308,1.7e+308,8.2661,8.3065,1.7e+308,0.0404
2026-09-04,15:29,DIVIDEND,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308
2026-09-04,15:29,DIVOPPBEES,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308
2026-09-04,15:29,DLF,5.2112,5.7791,6.9395,8.0391,2.8279,1.0996
2026-09-04,15:29,DODLA,21.4953,23.7593,25.3429,25.8479,4.3526,0.505
2026-09-04,15:29,DOMS,17.714,18.2715,19.1396,25.9121,8.1981,6.7725
2026-09-04,15:29,DRREDDY,27.9846,30.4408,30.7179,31.7372,3.7526,1.0193
2026-09-04,15:29,DYNAMATECH,13.8482,15.35,15.6257,15.8579,2.0097,0.2322
2026-09-04,15:29,EASTWEST,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308
2026-09-04,15:29,EBANK10,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308
2026-09-04,15:29,EBANKNIFTY,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308
2026-09-04,15:29,EBBETF0430,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308
2026-09-04,15:29,EBBETF0431,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308
2026-09-04,15:29,EBBETF0433,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308
2026-09-04,15:29,EBIX,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308
2026-09-04,15:29,ECAPINSURE,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308
2026-09-04,15:29,ECORECO,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308
2026-09-04,15:29,EDELWEISS,5.2432,5.7103,6.4584,7.2528,2.0096,0.7944
2026-09-04,15:29,EGOLD,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308
2026-09-04,15:29,EKI,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308
2026-09-04,15:29,ELANTAS,1.7e+308,1.7e+308,12.2503,12.2792,1.7e+308,0.0289
2026-09-04,15:29,ELCIDIN,1.7e+308,1.7e+308,0.05,0.055,1.7e+308,0.005
2026-09-04,15:29,ELECON,4.167,4.5259,5.7129,7.2263,3.0593,1.5134
2026-09-04,15:29,ELGIEQUIP,6.2469,8.0861,9.0845,10.1261,3.8792,1.0416
2026-09-04,15:29,ELIQUID,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308
2026-09-04,15:29,ELLEN,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308
2026-09-04,15:29,ELM250,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308
2026-09-04,15:29,ELMDIV,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308
2026-09-04,15:29,ELPROINTL,1.7e+308,1.7e+308,0.0098,0.06,1.7e+308,0.0502
2026-09-04,15:29,EMAMILTD,25.0132,26.7316,26.9225,27.0166,2.0034,0.0941
2026-09-04,15:29,EMETAL,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308
2026-09-04,15:29,EMPIND,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308
2026-09-04,15:29,EMULTIMQ,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308
2026-09-04,15:29,ENERGY,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308
2026-09-04,15:29,ENEXT50,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308
2026-09-04,15:29,ENIFTY,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308
2026-09-04,15:29,ENKEIWHEL,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308
2026-09-04,15:29,EQUAL200,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308
2026-09-04,15:29,EQUAL50,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308
2026-09-04,15:29,EQUAL50ADD,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308
2026-09-04,15:29,EQUITASBNK,48.2,49.9563,50.8781,51.2575,3.0575,0.3794
2026-09-04,15:29,ERIS,19.3646,20.3158,20.352,20.715,1.3504,0.363
2026-09-04,15:29,ESENSEX,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308
2026-09-04,15:29,ESG,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308
2026-09-04,15:29,ESILVER,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308
2026-09-04,15:29,ETERNAL,26.4921,32.7104,35.9878,39.3174,12.8253,3.3296
