date,time,group,% 3 qtr ago,% 2 qtr ago,% 1 qtr ago,% current qtr,change in 3 qtrs
2026-09-04,15:29,DATAMATICS,66.3263,66.3263,66.3263,66.3263,0
2026-09-04,15:29,DATAPATTNS,42.4093,42.4093,42.4093,42.4093,0
2026-09-04,15:29,DBCORP,73.7736,74.2459,74.5002,74.4965,0.7229
2026-09-04,15:29,DBOL,50.6513,50.6513,50.6513,50.7839,0.1326
2026-09-04,15:29,DBSTOCKBRO,41.1704,41.1704,41.1704,41.1775,0.0071
2026-09-04,15:29,DCBBANK,14.6594,16.2422,16.2344,16.2254,1.566
2026-09-04,15:29,DCM,49.758,49.8842,50.0973,50.0973,0.3393
2026-09-04,15:29,DCMFINSERV,39.5025,39.5025,39.5025,39.5025,0
2026-09-04,15:29,DCMNVL,50.1086,50.1086,50.1086,50.1086,0
2026-09-04,15:29,DCMSHRIRAM,66.5226,66.5226,66.5226,66.5226,0
2026-09-04,15:29,DCMSRIND,50.1081,50.1081,50.1081,50.1081,0
2026-09-04,15:29,DCW,44.6223,45.136,45.4384,45.5901,0.9678
2026-09-04,15:29,DDEVPLSTIK,74.9952,74.9952,74.9952,74.9952,0
2026-09-04,15:29,DECCANCE,56.2478,56.2478,56.2478,56.2478,0
2026-09-04,15:29,DEEPAKNTR,49.2813,49.3284,49.3284,49.3397,0.0584
2026-09-04,15:29,DEEPINDS,63.4901,63.4901,63.4901,63.4901,0
2026-09-04,15:29,DELHIVERY,0,0,0,0,0
2026-09-04,15:29,DELTACORP,33.6634,34.4664,34.4664,34.4664,0.803
2026-09-04,15:29,DELTAMAGNT,72.1177,72.1177,72.1177,72.1177,0
2026-09-04,15:29,DENORA,53.6767,53.6767,53.6767,53.6767,0
2026-09-04,15:29,DHANUKA,69.713,69.713,69.713,69.814,0.101
2026-09-04,15:29,DHARMAJ,70.404,70.404,70.404,70.404,0
2026-09-04,15:29,DHRUV,49.4441,49.4441,49.4441,49.4441,0
2026-09-04,15:29,DHUNINV,74.9527,74.9527,74.9527,74.9527,0
2026-09-04,15:29,DIACABS,84.0224,84.0224,84.0224,84.0224,0
2026-09-04,15:29,DIAMINESQ,55.2049,55.3356,57.4025,57.4952,2.2903
2026-09-04,15:29,DIAMONDYD,54.8598,54.8138,55.5902,56.7737,1.9139
2026-09-04,15:29,DICIND,71.7518,71.7518,71.7518,71.7518,0
2026-09-04,15:29,DIFFNKG,69.7023,69.7023,69.756,69.756,0.0537
2026-09-04,15:29,DIGITIDE,56.9752,56.9752,57.3708,57.3327,0.3575
2026-09-04,15:29,DIL,9.4097,9.4097,9.4097,9.4097,0
2026-09-04,15:29,DISHTV,4.056,4.056,4.0642,4.2272,0.1712
2026-09-04,15:29,DIVGIITTS,60.5518,60.5573,60.5597,60.5597,0.0079
2026-09-04,15:29,DLINKINDIA,51.0202,51.0202,51.0202,51.0202,0
2026-09-04,15:29,DMCC,53.8439,53.8439,53.8439,53.8439,0
2026-09-04,15:29,DNAMEDIA,62.1655,62.1655,62.1655,62.1655,0
2026-09-04,15:29,DODLA,58.918,58.918,58.918,58.918,0
2026-09-04,15:29,DOLATALGO,74.4909,74.4909,74.4909,74.4909,0
2026-09-04,15:29,DOLLAR,72.2096,72.2096,72.4776,72.5745,0.3649
2026-09-04,15:29,DONEAR,74.5616,74.5616,74.5616,74.5616,0
2026-09-04,15:29,DPABHUSHAN,74.8803,74.8803,74.8884,74.8884,0.0081
2026-09-04,15:29,DREAMFOLKS,65.7173,65.7173,65.7173,65.7173,0
2026-09-04,15:29,DREDGECORP,73.4715,73.4715,73.4715,73.4715,0
2026-09-04,15:29,DSKULKARNI,95,95,95,95,0
2026-09-04,15:29,DTIL,68.8969,68.8969,68.8969,69.0016,0.1047
2026-09-04,15:29,DUCON,38.0787,38.0787,38.0787,38.0787,0
2026-09-04,15:29,DWARKESH,42.0995,42.0995,42.1444,42.1444,0.0449
