date,time,group,ltp,vwap
2026-09-11,15:29,ABDL,632.5,622.46
2026-09-11,15:29,ACE,1129,1107.39
2026-09-11,15:29,AEROFLEX,563.95,559.17
2026-09-11,15:29,AETHER,1674.7,1641.58
2026-09-11,15:29,AGARWALEYE,508.4,503.43
2026-09-11,15:29,AJAXENGG,590.6,588.17
2026-09-11,15:29,AKUMS,776.35,771.19
2026-09-11,15:29,ALIVUS,1386.8,1384.98
2026-09-11,15:29,AMAGI,578.35,575.63
2026-09-11,15:29,APOLLO,422.25,417.58
2026-09-11,15:29,ARTEMISMED,344.9,344.56
2026-09-11,15:29,ARVIND,575.1,568.09
2026-09-11,15:29,ASAHIINDIA,985.8,982.7
2026-09-11,15:29,ASTRAMICRO,1680.6,1673.18
2026-09-11,15:29,ATLANTAELE,1777.8,1772.83
2026-09-11,15:29,AVALON,2264.5,2252.35
2026-09-11,15:29,AVL,616.45,605.05
2026-09-11,15:29,AZAD,2849.1001,2776.76
2026-09-11,15:29,BAJAJCON,520.5,516.83
2026-09-11,15:29,BALUFORGE,533.4,529.49
2026-09-11,15:29,BBOX,800.8,788.04
2026-09-11,15:29,BECTORFOOD,242.5,241.16
2026-09-11,15:29,BEML,2023.4,2007.07
2026-09-11,15:29,BLACKBUCK,628.15,607.17
2026-09-11,15:29,BLISSGVS,720.95,703.54
2026-09-11,15:29,BLUESTONE,890.35,877.57
2026-09-11,15:29,BRIGADE,638.65,636.39
2026-09-11,15:29,CANHLIFE,151.92,151.64
2026-09-11,15:29,CAPLIPOINT,2754.8999,2743.91
2026-09-11,15:29,CARTRADE,3087.8999,3071.15
2026-09-11,15:29,CEIGALL,380.4,375.48
2026-09-11,15:29,CENTUM,4192,4144.52
2026-09-11,15:29,CHALET,877.25,870.62
2026-09-11,15:29,CLEANMAX,1431,1409.55
