MECHANICAL FLAT DUMP of the NSE shareholding-pattern XBRL filing (source: https://nsearchives.nseindia.com/corporate/xbrl/SHP_1694365_16072026051452_WEB.xml).
Filing: Avience Biomedicals Ltd, SHP as on 24-Jun-2026 (listing date), submitted 02-Jul-2026, revised 16-Jul-2026 (remark: combine Resident HUF entries into one Any Other entry, 36,600 shares). Every line is one XBRL fact: element | context | value. Fractions are shares of total (0.6459 = 64.59%). No figure is computed or edited.
NumberOfVotingRightsHeldBySameClassOfSecurities | InstitutionsForeignPortfolioInvestorCategoryOne_ContextI | 168000
NumberOfVotingRights | InstitutionsForeignPortfolioInvestorCategoryOne_ContextI | 168000
PercentageOfTotalVotingRights | InstitutionsForeignPortfolioInvestorCategoryOne_ContextI | 0.0306
NumberOfSharesOnFullyDilutedBasisIncludingWarrantsESOPAndConvertibleSecurities | InstitutionsForeignPortfolioInvestorCategoryOne_ContextI | 168000
ShareholdingAsAPercentageAssumingFullConversionOfConvertibleSecuritiesWarrantsAndESOP | InstitutionsForeignPortfolioInvestorCategoryOne_ContextI | 0.0306
NumberOfTheLockedInShares | InstitutionsForeignPortfolioInvestorCategoryOne_ContextI | 120600
LockedInSharesAsAPercentageOfTotalNumberOfShares | InstitutionsForeignPortfolioInvestorCategoryOne_ContextI | 0.7179
NumberOfEquitySharesHeldInDematerializedForm | InstitutionsForeignPortfolioInvestorCategoryOne_ContextI | 168000
NumberOfSharesUnderSubCategoryOne | InstitutionsForeignPortfolioInvestorCategoryOne_ContextI | 0
NumberOfSharesUnderSubCategoryTwo | InstitutionsForeignPortfolioInvestorCategoryOne_ContextI | 0
NumberOfSharesUnderSubCategoryThree | InstitutionsForeignPortfolioInvestorCategoryOne_ContextI | 0
NumberOfShareholders | InstitutionsForeign_ContextI | 20
NumberOfFullyPaidUpEquityShares | InstitutionsForeign_ContextI | 168000
NumberOfShares | InstitutionsForeign_ContextI | 168000
ShareholdingAsAPercentageOfTotalNumberOfShares | InstitutionsForeign_ContextI | 0.0306
NumberOfVotingRightsHeldBySameClassOfSecurities | InstitutionsForeign_ContextI | 168000
NumberOfVotingRights | InstitutionsForeign_ContextI | 168000
PercentageOfTotalVotingRights | InstitutionsForeign_ContextI | 0.0306
NumberOfSharesOnFullyDilutedBasisIncludingWarrantsESOPAndConvertibleSecurities | InstitutionsForeign_ContextI | 168000
ShareholdingAsAPercentageAssumingFullConversionOfConvertibleSecuritiesWarrantsAndESOP | InstitutionsForeign_ContextI | 0.0306
NumberOfTheLockedInShares | InstitutionsForeign_ContextI | 120600
LockedInSharesAsAPercentageOfTotalNumberOfShares | InstitutionsForeign_ContextI | 0.7179
NumberOfEquitySharesHeldInDematerializedForm | InstitutionsForeign_ContextI | 168000
NumberOfSharesUnderSubCategoryOne | InstitutionsForeign_ContextI | 0
NumberOfSharesUnderSubCategoryTwo | InstitutionsForeign_ContextI | 0
NumberOfSharesUnderSubCategoryThree | InstitutionsForeign_ContextI | 0
NumberOfShareholders | ResidentIndividualShareholdersHoldingNominalShareCapitalUpToRsTwoLakh_ContextI | 486
NumberOfFullyPaidUpEquityShares | ResidentIndividualShareholdersHoldingNominalShareCapitalUpToRsTwoLakh_ContextI | 744271
NumberOfShares | ResidentIndividualShareholdersHoldingNominalShareCapitalUpToRsTwoLakh_ContextI | 744271
ShareholdingAsAPercentageOfTotalNumberOfShares | ResidentIndividualShareholdersHoldingNominalShareCapitalUpToRsTwoLakh_ContextI | 0.1357
NumberOfVotingRightsHeldBySameClassOfSecurities | ResidentIndividualShareholdersHoldingNominalShareCapitalUpToRsTwoLakh_ContextI | 744271
NumberOfVotingRights | ResidentIndividualShareholdersHoldingNominalShareCapitalUpToRsTwoLakh_ContextI | 744271
PercentageOfTotalVotingRights | ResidentIndividualShareholdersHoldingNominalShareCapitalUpToRsTwoLakh_ContextI | 0.1357
NumberOfSharesOnFullyDilutedBasisIncludingWarrantsESOPAndConvertibleSecurities | ResidentIndividualShareholdersHoldingNominalShareCapitalUpToRsTwoLakh_ContextI | 744271
ShareholdingAsAPercentageAssumingFullConversionOfConvertibleSecuritiesWarrantsAndESOP | ResidentIndividualShareholdersHoldingNominalShareCapitalUpToRsTwoLakh_ContextI | 0.1357
NumberOfTheLockedInShares | ResidentIndividualShareholdersHoldingNominalShareCapitalUpToRsTwoLakh_ContextI | 126271
LockedInSharesAsAPercentageOfTotalNumberOfShares | ResidentIndividualShareholdersHoldingNominalShareCapitalUpToRsTwoLakh_ContextI | 0.1697
NumberOfEquitySharesHeldInDematerializedForm | ResidentIndividualShareholdersHoldingNominalShareCapitalUpToRsTwoLakh_ContextI | 744271
NumberOfSharesUnderSubCategoryOne | ResidentIndividualShareholdersHoldingNominalShareCapitalUpToRsTwoLakh_ContextI | 0
NumberOfSharesUnderSubCategoryTwo | ResidentIndividualShareholdersHoldingNominalShareCapitalUpToRsTwoLakh_ContextI | 0
NumberOfSharesUnderSubCategoryThree | ResidentIndividualShareholdersHoldingNominalShareCapitalUpToRsTwoLakh_ContextI | 0
NumberOfShareholders | NonResidentIndians_ContextI | 4
NumberOfFullyPaidUpEquityShares | NonResidentIndians_ContextI | 44000
NumberOfShares | NonResidentIndians_ContextI | 44000
ShareholdingAsAPercentageOfTotalNumberOfShares | NonResidentIndians_ContextI | 0.008
NumberOfVotingRightsHeldBySameClassOfSecurities | NonResidentIndians_ContextI | 44000
NumberOfVotingRights | NonResidentIndians_ContextI | 44000
PercentageOfTotalVotingRights | NonResidentIndians_ContextI | 0.008
NumberOfSharesOnFullyDilutedBasisIncludingWarrantsESOPAndConvertibleSecurities | NonResidentIndians_ContextI | 44000
ShareholdingAsAPercentageAssumingFullConversionOfConvertibleSecuritiesWarrantsAndESOP | NonResidentIndians_ContextI | 0.008
NumberOfTheLockedInShares | NonResidentIndians_ContextI | 44000
LockedInSharesAsAPercentageOfTotalNumberOfShares | NonResidentIndians_ContextI | 1
NumberOfEquitySharesHeldInDematerializedForm | NonResidentIndians_ContextI | 44000
NumberOfSharesUnderSubCategoryOne | NonResidentIndians_ContextI | 0
NumberOfSharesUnderSubCategoryTwo | NonResidentIndians_ContextI | 0
NumberOfSharesUnderSubCategoryThree | NonResidentIndians_ContextI | 0
NumberOfShareholders | BodiesCorporate_ContextI | 13
NumberOfFullyPaidUpEquityShares | BodiesCorporate_ContextI | 380900
NumberOfShares | BodiesCorporate_ContextI | 380900
ShareholdingAsAPercentageOfTotalNumberOfShares | BodiesCorporate_ContextI | 0.0694
NumberOfVotingRightsHeldBySameClassOfSecurities | BodiesCorporate_ContextI | 380900
NumberOfVotingRights | BodiesCorporate_ContextI | 380900
PercentageOfTotalVotingRights | BodiesCorporate_ContextI | 0.0694
NumberOfSharesOnFullyDilutedBasisIncludingWarrantsESOPAndConvertibleSecurities | BodiesCorporate_ContextI | 380900
ShareholdingAsAPercentageAssumingFullConversionOfConvertibleSecuritiesWarrantsAndESOP | BodiesCorporate_ContextI | 0.0694
NumberOfTheLockedInShares | BodiesCorporate_ContextI | 261500
LockedInSharesAsAPercentageOfTotalNumberOfShares | BodiesCorporate_ContextI | 0.6865
NumberOfEquitySharesHeldInDematerializedForm | BodiesCorporate_ContextI | 380900
NumberOfSharesUnderSubCategoryOne | BodiesCorporate_ContextI | 0
NumberOfSharesUnderSubCategoryTwo | BodiesCorporate_ContextI | 0
NumberOfSharesUnderSubCategoryThree | BodiesCorporate_ContextI | 0
NumberOfShareholders | OtherNonInstitutions_ContextI | 52
NumberOfFullyPaidUpEquityShares | OtherNonInstitutions_ContextI | 106800
NumberOfShares | OtherNonInstitutions_ContextI | 106800
ShareholdingAsAPercentageOfTotalNumberOfShares | OtherNonInstitutions_ContextI | 0.0195
NumberOfVotingRightsHeldBySameClassOfSecurities | OtherNonInstitutions_ContextI | 106800
NumberOfVotingRights | OtherNonInstitutions_ContextI | 106800
PercentageOfTotalVotingRights | OtherNonInstitutions_ContextI | 0.0195
NumberOfSharesOnFullyDilutedBasisIncludingWarrantsESOPAndConvertibleSecurities | OtherNonInstitutions_ContextI | 106800
ShareholdingAsAPercentageAssumingFullConversionOfConvertibleSecuritiesWarrantsAndESOP | OtherNonInstitutions_ContextI | 0.0195
NumberOfTheLockedInShares | OtherNonInstitutions_ContextI | 36600
LockedInSharesAsAPercentageOfTotalNumberOfShares | OtherNonInstitutions_ContextI | 0.3427
NumberOfEquitySharesHeldInDematerializedForm | OtherNonInstitutions_ContextI | 106800
NumberOfSharesUnderSubCategoryOne | OtherNonInstitutions_ContextI | 0
NumberOfSharesUnderSubCategoryTwo | OtherNonInstitutions_ContextI | 0
