date,index,index_changes__change,index_changes__ltp,indices_age_away_from__from_30w_ema,quarterly_percentage_change_indices__change,weekly_percentage_change_indices__change
2026-09-16,CNXREALTY,0.9886,822.3,-3.2249,-0.874,-3.0878
2026-09-16,CNXSMALLCAP,-0.1758,19388.3008,3.473,2.7843,-2.6022
2026-09-16,INDIAVIX,-1.936,13.17,-4.3315,-3.1618,7.1603
2026-09-16,NIFTY,0.4282,23217.5996,-3.7416,-2.7158,-0.7714
2026-09-16,NIFTY100,0.3718,24282.9492,-3.2365,-2.5392,-1.0739
2026-09-16,NIFTY200,0.295,13481.9004,-2.7301,-2.3291,-1.2886
2026-09-16,NIFTY500,0.2427,22532,-2.1214,-2.0163,-1.4628
2026-09-16,NIFTYAUTO,0.5122,26893.6504,-1.2801,1.5629,-1.5047
2026-09-16,NIFTYCHEMICALS,-0.0329,28752.6992,-1.8442,-2.9133,-3.4561
2026-09-16,NIFTYCOMMODITIES,0.3678,9442.1504,-3.2419,-3.5822,-1.4369
2026-09-16,NIFTYCONSUMPTION,0.6989,11361.6504,-2.4284,-1.3309,-0.8634
2026-09-16,NIFTYFINSERVICE,0.7407,25262.4004,-3.4963,-4.866,-1.1078
2026-09-16,NIFTYFMCG,1.6263,45559,-7.0124,-6.6303,1.1214
2026-09-16,NIFTYHEALTHCARE,-0.1494,16274.6504,3.0577,0.8358,-1.3185
2026-09-16,NIFTYHOUSING,1.7e+308,11061.2002,0,1.7e+308,1.7e+308
2026-09-16,NIFTYINDDEFENCE,-0.1646,9129.0996,0.266,-4.1001,-6.1164
2026-09-16,NIFTYLARGEMID250,0.2064,16120.6504,-1.8929,-2.1588,-1.5932
2026-09-16,NIFTYMEDIA,0.7414,1515.05,0.5008,2.479,-1.4409
2026-09-16,NIFTYMETAL,0.5521,12739.0996,1.5692,1.7569,-1.9998
2026-09-16,NIFTYMICROCAP250,-0.1412,25743.9004,5.1557,2.3861,-3.4025
2026-09-16,NIFTYMIDCAP150,0.0447,22368.8008,-0.6486,-1.7803,-2.0967
2026-09-16,NIFTYMIDCAP50,0.0214,17560.0996,0.2345,-0.1978,-2.0617
2026-09-16,NIFTYMIDSELECT,0.1549,14288.4502,0.15,-0.9559,-2.0312
2026-09-16,NIFTYMIDSMALLCAP400,-0.0279,20744.9004,0.42,-0.8976,-2.2709
2026-09-16,NIFTYOILANDGAS,0.7044,10872.4502,-3.3194,-1.4306,-0.5902
2026-09-16,NIFTYPSUBANK,1.439,8275.9004,-2.0652,-2.5522,-0.8862
2026-09-16,NIFTYPVTBANK,0.7922,27284.25,-0.4425,-2.3091,-0.5531
2026-09-16,NIFTYSMALLCAP250,-0.1649,17863.3008,2.499,0.807,-2.5987
2026-09-16,NIFTYSMALLCAP50,-0.1606,9698.0996,4.673,3.9169,-2.514
2026-09-16,NIFTYTOTALMKT,0.2246,12742.0498,-1.757,-1.8219,-1.5541
2026-09-17,BANKNIFTY,-0.4205,56055.75,-1.3866,-2.5844,-0.973
2026-09-17,CNXENERGY,0.5334,37381.75,-2.0916,-5.9354,-1.4589
2026-09-17,CNXINFRA,0.6802,8969.2998,-3.2891,-4.5027,-1.1882
2026-09-17,CNXIT,0.2336,29155.5996,-4.452,10.8618,0.8094
2026-09-17,CNXPHARMA,1.6563,26579.25,6.4942,4.9468,0.1766
2026-09-17,CNXREALTY,1.4532,834.25,-1.9075,0.5666,-1.6794
2026-09-17,CNXSMALLCAP,0.7602,19535.6992,4.2067,3.5657,-1.8617
2026-09-17,INDIAVIX,-6.6819,12.29,-10.3542,-9.6324,0
2026-09-17,NIFTY,0.2283,23270.5996,-3.5356,-2.4937,-0.5449
2026-09-17,NIFTY100,0.3904,24377.75,-2.8824,-2.1587,-0.6877
2026-09-17,NIFTY200,0.497,13548.9004,-2.2771,-1.8437,-0.7981
2026-09-17,NIFTY500,0.5443,22654.6504,-1.6224,-1.4829,-0.9265
2026-09-17,NIFTYAUTO,0.9872,27159.1504,-0.3682,2.5655,-0.5323
2026-09-17,NIFTYCHEMICALS,0.7446,28966.8008,-1.1599,-2.1904,-2.7372
2026-09-17,NIFTYCOMMODITIES,0.6291,9501.5498,-2.6714,-2.9756,-0.8168
2026-09-17,NIFTYCONSUMPTION,0.584,11428,-1.8947,-0.7547,-0.2844
2026-09-17,NIFTYFINSERVICE,0.2215,25318.3496,-3.2959,-4.6553,-0.8888
2026-09-17,NIFTYFMCG,0.0301,45572.6992,-6.9861,-6.6022,1.1518
2026-09-17,NIFTYHEALTHCARE,1.5638,16529.1504,4.5606,2.4127,0.2247
