date,marketcap,52_wk_high__pct,percentage_trading_above_40w__percentage
2025-12-08,largecap,,54.2466
2025-12-08,midcap,,34.2926
2025-12-08,smallcap,,32.7969
2025-12-15,largecap,,54.0984
2025-12-15,midcap,,33.8902
2025-12-15,smallcap,,32.8177
2025-12-22,largecap,,55.5858
2025-12-22,midcap,,36.1045
2025-12-22,smallcap,,34.2511
2025-12-29,largecap,,61.0354
2025-12-29,midcap,,38.8626
2025-12-29,smallcap,,36.6484
2026-01-05,largecap,,51.2262
2026-01-05,midcap,,25.8294
2026-01-05,smallcap,,30.2466
2026-01-12,largecap,,50.4087
2026-01-12,midcap,,25.1185
2026-01-12,smallcap,,29.6438
2026-01-19,largecap,,37.3297
2026-01-19,midcap,,16.0757
2026-01-19,smallcap,,19.749
2026-01-27,largecap,,37.6022
2026-01-27,midcap,,19.1038
2026-01-27,smallcap,,19.9127
2026-02-02,largecap,,51.2262
2026-02-02,midcap,,28.9412
2026-02-02,smallcap,,28.7275
2026-02-09,largecap,,51.4986
2026-02-09,midcap,,32.9412
2026-02-09,smallcap,,30.6979
2026-02-16,largecap,,51.2262
2026-02-16,midcap,,30.445
2026-02-16,smallcap,,29.793
2026-02-23,largecap,,51.2262
2026-02-23,midcap,,30.6792
2026-02-23,smallcap,,26.7101
2026-03-02,largecap,,42.5068
2026-03-02,midcap,,25
2026-03-02,smallcap,,17.8378
2026-03-09,largecap,,31.8801
2026-03-09,midcap,,17.7156
2026-03-09,smallcap,,14.0086
2026-03-16,largecap,,32.6975
2026-03-16,midcap,,21.3953
2026-03-16,smallcap,,14.2012
2026-03-23,largecap,,27.7929
2026-03-23,midcap,,20.2326
2026-03-23,smallcap,,12.3523
2026-03-30,largecap,,27.5204
2026-03-30,midcap,,22.5058
2026-03-30,smallcap,,12.7477
2026-04-06,largecap,,45.5041
2026-04-06,midcap,,35.6481
2026-04-06,smallcap,,26.3355
2026-04-13,largecap,,56.1308
2026-04-13,midcap,,49.7685
2026-04-13,smallcap,,39.8079
2026-04-15,largecap,7.4176,
2026-04-15,midcap,3.4247,
2026-04-15,smallcap,1.4579,
2026-04-16,largecap,7.6923,
2026-04-16,midcap,5.0228,
2026-04-16,smallcap,1.2966,
2026-04-17,largecap,9.0659,
2026-04-17,midcap,5.2632,
2026-04-17,smallcap,1.7288,
2026-04-20,largecap,8.7912,55.5858
2026-04-20,midcap,4.4843,49.6568
2026-04-20,smallcap,2.0767,35.194
2026-04-21,largecap,7.9452,
2026-04-21,midcap,3.3557,
2026-04-21,smallcap,1.5955,
2026-04-22,largecap,8.4932,
2026-04-22,midcap,2.9345,
2026-04-22,smallcap,1.2327,
2026-04-23,largecap,7.6712,
2026-04-23,midcap,2.9345,
2026-04-23,smallcap,0.7194,
2026-04-24,largecap,4.9315,
2026-04-24,midcap,3.1603,
2026-04-24,smallcap,0.9259,
2026-04-27,largecap,7.1233,55.8583
2026-04-27,midcap,5.1802,54.6485
2026-04-27,smallcap,1.3747,39.8473
2026-04-28,largecap,8.2192,
2026-04-28,midcap,4.9661,
2026-04-28,smallcap,1.7481,
2026-04-29,largecap,9.2643,
2026-04-29,midcap,3.8636,
2026-04-29,smallcap,1.7995,
2026-04-30,largecap,4.9046,
2026-04-30,midcap,1.5909,
2026-04-30,smallcap,1.1831,
2026-05-04,largecap,8.4469,66.7575
2026-05-04,midcap,5.8957,64.8526
2026-05-04,smallcap,1.8782,50.1015
2026-05-05,largecap,5.1771,
2026-05-05,midcap,4.5455,
2026-05-05,smallcap,1.7454,
2026-05-06,largecap,8.1744,
2026-05-06,midcap,4.3084,
2026-05-06,smallcap,2.6708,
2026-05-07,largecap,9.8093,
2026-05-07,midcap,7.9365,
2026-05-07,smallcap,3.8481,
2026-05-08,largecap,9.5368,
2026-05-08,midcap,8.371,
2026-05-08,smallcap,3.3846,
2026-05-11,largecap,6.267,57.4932
2026-05-11,midcap,4.2986,51.5837
2026-05-11,smallcap,2.0294,36.4789
2026-05-12,largecap,3.2698,
2026-05-12,midcap,1.5837,
2026-05-12,smallcap,0.9245,
2026-05-13,largecap,3.2698,
