date,time,breakouts,breakdowns,up close %,down close %,new 52-wk high,new 52-wk low,net nh-nl,15% 52wh,15% 52wl,net 15% h-l,30% 52wh,30% 52 wl,net 30% h-l
2025-08-18,00:00,27.7004,8.4013,38.1282,33.7143,2.3524,1.2962,1.0562,15.4105,22.4196,-7.0091,41.7667,49.5919,-7.8253
2025-08-19,00:00,18.9971,5.0627,48.731,26.6667,1.784,0.675,1.109,16.4899,19.7686,-3.2787,43.0569,48.6017,-5.5448
2025-08-20,00:00,17.7264,4.817,46.7391,22,2.0713,0.289,1.7823,17.0039,18.4008,-1.3969,43.9306,47.1098,-3.1792
2025-08-21,00:00,14.4027,5.6358,33.4448,29.9145,1.975,0.3372,1.6378,16.9557,18.6898,-1.7341,43.7861,46.9653,-3.1792
2025-08-22,00:00,10.6936,6.7919,37.3874,24.8227,1.8786,0.4817,1.3969,16.5222,20.1349,-3.6127,43.6416,47.8324,-4.1908
2025-08-25,00:00,14.5254,7.7661,38.2838,41.358,2.0134,0.4314,1.582,16.5868,20.3739,-3.7872,43.1927,48.418,-5.2253
2025-08-26,00:00,7.3077,16.4423,26.9737,37.1345,0.8173,1.5385,-0.7212,14.9519,23.3173,-8.3654,41.4904,51.7788,-10.2885
2025-08-28,00:00,8.7019,13.3654,27.6243,43.1655,0.7692,2.2115,-1.4423,13.9423,24.6154,-10.6731,40.2404,53.0769,-12.8365
2025-08-29,00:00,11.9769,7.3593,31.3253,30.0654,0.6734,2.1645,-1.4911,13.6604,25.7816,-12.1212,40.5964,53.3911,-12.7946
2025-09-01,00:00,21.9512,5.3085,42.2658,27.027,1.4347,1.1478,0.2869,15.3515,23.3859,-8.0344,41.9895,51.076,-9.0866
2025-09-02,00:00,22.1315,5.0888,40.1302,34.9057,1.3922,0.6721,0.7201,15.9866,21.2194,-5.2328,42.6308,50.3601,-7.7292
2025-09-03,00:00,18.4173,4.1247,46.875,25.5814,1.9185,0.5276,1.3909,17.2182,19.8082,-2.5899,43.9808,48.4412,-4.4604
2025-09-04,00:00,16.0441,7.4713,24.4776,33.9744,2.3946,0.4789,1.9157,16.5709,21.0728,-4.5019,42.864,49.4732,-6.6092
2025-09-05,00:00,14.0805,6.3697,39.7959,26.3158,1.772,0.6226,1.1494,16.8103,21.4559,-4.6456,43.7261,49.2337,-5.5077
2025-09-08,00:00,20.2194,6.6285,40.8019,33.0935,2.8135,0.4292,2.3844,17.5489,20.5532,-3.0043,43.8722,48.021,-4.1488
2025-09-09,00:00,13.841,7.0881,34.6021,40.5405,2.2031,0.6226,1.5805,17.6245,21.1207,-3.4962,44.205,47.5575,-3.3525
2025-09-10,00:00,18.1513,6.0824,37.7309,33.8583,1.0536,0.0479,1.0057,17.9119,19.1571,-1.2452,45.1628,46.7912,-1.6284
2025-09-11,00:00,13.0747,6.3697,34.0659,35.3383,0.9579,0.2395,0.7184,18.0556,18.9655,-0.91,45.6897,46.2644,-0.5747
2025-09-12,00:00,11.3506,5.6992,35.865,27.7311,1.6284,0.2874,1.341,18.4387,19.205,-0.7663,46.3602,46.8391,-0.4789
2025-09-15,00:00,14.8236,5.0048,44.373,28.5714,2.1449,0.429,1.7159,18.9704,18.5891,0.3813,47.3785,45.5672,1.8112
2025-09-16,00:00,14.4705,3.0666,41.7219,31.25,2.0125,0.1917,1.8208,19.5017,17.633,1.8687,48.1073,44.322,3.7853
2025-09-17,00:00,15.4472,4.1607,34.6749,37.931,1.7695,0.1913,1.5782,20.1817,16.4036,3.7781,48.637,43.7111,4.9259
2025-09-18,00:00,12.709,4.9689,33.0827,33.6538,1.6722,0.2389,1.4333,20.2102,16.4357,3.7745,49.2594,43.096,6.1634
2025-09-19,00:00,12.7568,6.259,40.4494,29.0076,1.5767,0.6211,0.9556,20.258,16.3402,3.9178,50.215,42.9049,7.3101
2025-09-22,00:00,13.0641,9.4062,37.4545,37.8788,2.0428,0.8076,1.2352,20.4751,16.9596,3.5154,49.4062,44.0855,5.3207
2025-09-23,00:00,12.1299,6.1605,40.9449,34.8837,2.0057,0.8596,1.1461,19.7708,17.6695,2.1012,49.3314,44.4604,4.8711
2025-09-24,00:00,9.9714,7.8721,35.4067,38.1818,2.2901,1.0496,1.2405,18.75,19.6088,-0.8588,48.6164,46.0401,2.5763
2025-09-25,00:00,8.7786,9.6374,32.6087,39.1089,1.2405,1.7653,-0.5248,17.6527,21.4695,-3.8168,46.9466,47.376,-0.4294
2025-09-26,00:00,5.8123,24.202,23.7705,46.063,1.0481,3.5731,-2.525,14.9119,25.536,-10.6241,44.6879,50.929,-6.2411
2025-09-29,00:00,15.8467,11.5894,26.2687,42.0408,1.3718,2.7909,-1.4191,14.9953,26.2535,-11.2583,44.3236,51.1826,-6.859
2025-09-30,00:00,12.8205,8.4995,25.5556,32.4022,1.0921,2.0418,-0.9497,14.7673,26.3533,-11.5859,44.2545,51.2821,-7.0275
2025-10-01,00:00,19.9337,4.214,45.6057,16.8539,1.3258,1.3258,0,16.7614,24.2424,-7.4811,45.9754,49.1004,-3.125
2025-10-03,00:00,19.4799,4.6809,43.4466,23.2323,1.9385,0.7092,1.2293,17.7305,22.5532,-4.8227,47.565,47.4704,0.0946
2025-10-06,00:00,13.5593,8.8983,38.8889,33.8624,2.2128,1.177,1.0358,17.9849,23.4934,-5.5085,47.1751,47.9284,-0.7533
2025-10-07,00:00,12.034,7.5979,38.8235,37.2671,1.7933,1.9349,-0.1416,18.1689,23.5488,-5.3799,47.5224,48.2775,-0.7551
2025-10-08,00:00,13.3428,6.7893,36.3958,31.25,1.5559,1.9802,-0.4243,18.1047,24.7053,-6.6007,47.5719,48.3263,-0.7544
2025-10-09,00:00,12.4941,7.1193,44.1509,46.3576,1.3201,1.9331,-0.6129,18.4818,24.7525,-6.2706,47.3362,48.1848,-0.8487
2025-10-10,00:00,16.2341,5.5215,35.1744,30.7692,1.463,0.991,0.4719,18.5937,23.3601,-4.7664,48.0887,47.5696,0.5191
2025-10-13,00:00,8.4428,10.3189,34.4444,37.7273,1.2195,1.6886,-0.469,17.9174,24.9062,-6.9887,47.561,48.7805,-1.2195
2025-10-14,00:00,7.7684,15.8192,32.7273,37.7976,1.177,3.2015,-2.0245,16.4783,27.5895,-11.1111,45.951,51.4124,-5.4614
2025-10-15,00:00,15.9059,6.3529,40.2367,34.8148,1.3176,2.4471,-1.1294,17.3647,26.3529,-8.9882,46.5412,49.4588,-2.9176
2025-10-16,00:00,16.698,4.9389,34.0845,33.3333,1.5992,1.317,0.2822,17.7328,25.2587,-7.5259,47.5071,49.0593,-1.5522
2025-10-17,00:00,10.9125,10.254,29.7414,35.7798,1.5522,2.0226,-0.4704,17.3095,26.1054,-8.7959,46.2371,50.4233,-4.1863
2025-10-20,00:00,16.0355,7.2464,42.2741,32.9032,2.1505,2.431,-0.2805,18.1861,25.1987,-7.0126,47.2651,49.5091,-2.244
2025-10-21,00:00,15.9925,2.7752,29.1176,10.1695,1.8815,0.9878,0.8937,19.9906,23.3772,-3.3866,49.5296,48.0245,1.5052
2025-10-23,00:00,14.5207,7.7538,38.835,42.4242,2.5846,0.3289,2.2556,19.4079,22.6974,-3.2895,49.765,47.8383,1.9267
2025-10-24,00:00,9.0653,7.3274,35.7513,32.6923,1.4561,0.5167,0.9394,18.7882,23.2504,-4.4622,49.5068,48.0977,1.4091
2025-10-27,00:00,13.4517,7.333,40.2778,41.4013,2.5222,0.9341,1.588,20.3643,23.4937,-3.1294,49.7898,48.1551,1.6348
2025-10-28,00:00,11.085,6.6228,38.9831,36.1702,2.2076,1.0333,1.1743,20.7609,23.6731,-2.9122,49.9765,48.6144,1.3621
2025-10-29,00:00,13.5122,6.403,36.9338,32.3529,2.4011,0.9887,1.4124,21.7514,22.2693,-0.5179,50.6591,47.5518,3.1073
2025-10-30,00:00,9.0866,5.9793,38.8601,30.7087,1.8832,0.8945,0.9887,20.7156,22.8814,-2.1657,50.4708,47.2222,3.2486
2025-10-31,00:00,10.2637,7.1092,35.7798,31.7881,2.1186,1.2712,0.8475,20.339,23.6347,-3.2957,50.565,48.1168,2.4482
2025-11-03,00:00,14.7664,7.4299,45.2532,41.5094,3.1308,1.4019,1.729,20.9813,23.6916,-2.7103,50.9346,47.243,3.6916
2025-11-04,00:00,9.6289,8.7365,30.2439,31.7204,1.8788,1.8788,0,20.2442,24.6125,-4.3682,50.3992,48.7553,1.644
2025-11-06,00:00,7.891,21.7003,35.119,51.2987,1.5031,4.3213,-2.8182,18.3185,27.6186,-9.3001,47.0643,50.869,-3.8046
2025-11-07,00:00,11.831,12.2066,42.0635,30.3846,1.5023,5.2582,-3.7559,18.0751,27.9812,-9.9061,47.277,51.5493,-4.2723
2025-11-10,00:00,14.5989,14.4123,35.4633,46.2783,2.1922,4.5243,-2.3321,17.9104,28.4981,-10.5877,46.9216,51.4925,-4.5709
2025-11-11,00:00,12.1951,11.9137,37.3077,35.0394,1.3133,4.5497,-3.2364,17.9644,29.0338,-11.0694,47.045,51.8762,-4.8311
2025-11-12,00:00,18.0028,6.5635,38.2813,33.5714,1.9222,1.9691,-0.0469,18.7529,28.3169,-9.564,48.2419,50.7267,-2.4848
2025-11-13,00:00,14.433,8.9972,30.1948,45.3125,1.7807,2.4367,-0.656,18.9316,28.6317,-9.7001,47.8913,50.5155,-2.6242
2025-11-14,00:00,12.2134,10.0608,42.1456,31.6279,1.357,2.8545,-1.4974,19.2326,28.7787,-9.5461,47.4029,51.6144,-4.2115
2025-11-17,00:00,15.7282,9.7255,41.716,41.1483,2.792,3.1643,-0.3723,19.637,28.0596,-8.4225,48.0689,50.2559,-2.1871
2025-11-18,00:00,7.2931,9.3502,35.8974,39,1.5895,3.6933,-2.1038,18.3263,30.388,-12.0617,47.3586,52.1739,-4.8153
2025-11-19,00:00,9.7196,9.6262,36.5385,35.4369,1.729,4.0187,-2.2897,18.271,31.1215,-12.8505,47.2897,52.7103,-5.4206
2025-11-20,00:00,11.163,7.333,30.5439,26.1146,1.6348,3.7833,-2.1485,18.5894,30.9201,-12.3307,47.0808,53.1994,-6.1186
