"Date","Symbol","% 3 qtr ago","% 2 qtr ago","% 1 qtr ago","% current qtr","Change in 3 qtrs"
"4th Sep'26 3:29:00","AJMERA",68.23,68.23,68.23,68.56,0.326
"4th Sep'26 3:29:00","CLEAN",50.97,50.96,51.29,51.29,0.325
"4th Sep'26 3:29:00","UTTAMSUGAR",74.39,74.39,74.71,74.71,0.321
"4th Sep'26 3:29:00","ORIENTCER",63.58,63.9,63.9,63.9,0.316
"4th Sep'26 3:29:00","LORDSCHLO",74.66,74.66,74.97,74.97,0.303
"4th Sep'26 3:29:00","ORIENTBELL",65.61,65.56,65.92,65.92,0.303
"4th Sep'26 3:29:00","LYKALABS",58.16,58.16,58.16,58.45,0.29
"4th Sep'26 3:29:00","HDFCLIFE",50.25,50.21,50.21,50.54,0.289
"4th Sep'26 3:29:00","AIROLAM",53.14,53.41,53.41,53.41,0.278
"4th Sep'26 3:29:00","SBICARD",68.59,68.58,68.92,68.86,0.274
"4th Sep'26 3:29:00","BOSCH-HCIL",74.25,82.22,82.22,74.53,0.273
"4th Sep'26 3:29:00","RKFORGE",43.13,43.13,43.33,43.39,0.266
"4th Sep'26 3:29:00","SULA",24.36,24.35,24.55,24.62,0.265
"4th Sep'26 3:29:00","CHEMBONDCH",67.74,67.94,67.98,68,0.257
"4th Sep'26 3:29:00","AMANTA",63.56,63.56,63.72,63.8,0.244
"4th Sep'26 3:29:00","TRACXN",34.39,34.44,34.54,34.63,0.243
"4th Sep'26 3:29:00","ASHAPURMIN",47.79,47.88,48.03,48.03,0.243
"4th Sep'26 3:29:00","PATINTLOG",35.91,35.91,35.99,36.15,0.241
"4th Sep'26 3:29:00","PIXTRANS",61.82,62.06,62.06,62.06,0.24
"4th Sep'26 3:29:00","RPTECH",63.79,63.98,64.01,64.03,0.239
"4th Sep'26 3:29:00","GREENPLY",51.69,51.8,51.89,51.93,0.237
"4th Sep'26 3:29:00","NAHARPOLY",72.28,72.28,72.5,72.51,0.233
"4th Sep'26 3:29:00","NINSYS",47.38,47.42,47.49,47.61,0.233
"4th Sep'26 3:29:00","MANINFRA",62.3,62.44,62.46,62.52,0.226
"4th Sep'26 3:29:00","INDUSTOWER",51.03,51.03,51.26,51.26,0.223
"4th Sep'26 3:29:00","JWL",68.09,68.31,68.31,68.31,0.214
"4th Sep'26 3:29:00","MOBIKWIK",24.87,25.11,25.08,25.08,0.21
"4th Sep'26 3:29:00","GODREJAGRO",67.53,67.65,67.74,67.74,0.209
"4th Sep'26 3:29:00","SRM",72.39,72.59,72.59,72.59,0.207
"4th Sep'26 3:29:00","PVSL",61.18,61.18,61.36,61.38,0.205
"4th Sep'26 3:29:00","STARTECK",73.1,73.3,73.3,73.3,0.204
"4th Sep'26 3:29:00","MBAPL",74.56,74.63,74.76,74.76,0.201
