"Date","Symbol","% 3 quarter ago","% 2 quarter ago","% 1 quarter ago","% current quarter","Change in % in 3 qtrs","Change in % in 1 qtr"
"4th Sep'26 3:29:00","SMLMAH",0.632,0.644,1.56,2.43,1.8,0.87
"4th Sep'26 3:29:00","HMAAGRO",0.627,1.34,1.41,3.46,2.83,2.05
"4th Sep'26 3:29:00","PUNJABCHEM",0.557,0.559,0.617,0.633,0.075,0.016
"4th Sep'26 3:29:00","INNOVANA",0.502,1.09,1.09,1.52,1.01,0.426
"4th Sep'26 3:29:00","SKIPPER",0.488,0.797,1.66,1.92,1.43,0.264
"4th Sep'26 3:29:00","DHAMPURSUG",0.482,0.581,0.826,1.14,0.653,0.309
"4th Sep'26 3:29:00","FMGOETZE",0.435,0.452,0.498,0.499,0.064,0.002
"4th Sep'26 3:29:00","SUMMITSEC",0.43,0.45,0.458,0.458,0.028,0
"4th Sep'26 3:29:00","AYMSYNTEX",0.41,0.414,0.458,0.475,0.065,0.017
"4th Sep'26 3:29:00","SHILCTECH",0.337,1.49,1.91,1.95,1.61,0.039
"4th Sep'26 3:29:00","IMFA",0.216,0.644,0.823,0.876,0.661,0.053
"4th Sep'26 3:29:00","BBOX",0.164,2.59,3.11,3.53,3.36,0.416
"4th Sep'26 3:29:00","LLOYDSENGG",0.16,0.161,0.185,0.239,0.078,0.054
"4th Sep'26 3:29:00","TRIDENT",0.145,0.194,0.226,0.252,0.106,0.025
"4th Sep'26 3:29:00","TTML",0.127,0.136,0.142,0.182,0.055,0.04
"4th Sep'26 3:29:00","BHARATSE",0.12,0.213,0.215,0.221,0.101,0.006
"4th Sep'26 3:29:00","GEECEE",0.104,0.112,0.129,0.132,0.028,0.003
"4th Sep'26 3:29:00","BOROSCI",0.103,0.195,0.27,0.27,0.167,0.001
"4th Sep'26 3:29:00","ATAM",0.092,0.993,1.01,1.07,0.974,0.06
"4th Sep'26 3:29:00","JAGSNPHARM",0.087,0.149,0.225,0.621,0.533,0.396
"4th Sep'26 3:29:00","CORDSCABLE",0.085,0.55,0.559,0.592,0.507,0.033
"4th Sep'26 3:29:00","ASAHISONG",0.029,0.297,0.305,0.324,0.295,0.018
"4th Sep'26 3:29:00","HALEOSLABS",0.026,0.29,0.295,0.313,0.287,0.018
"4th Sep'26 3:29:00","TALBROAUTO",0.024,0.09,0.091,0.186,0.162,0.095
"4th Sep'26 3:29:00","PRECWIRE",0.013,0.056,0.109,0.152,0.14,0.043
"4th Sep'26 3:29:00","NELCAST",0.008,0.112,0.113,0.12,0.113,0.007
"4th Sep'26 3:29:00","INDNIPPON",0.004,0.06,0.064,0.223,0.218,0.158
"4th Sep'26 3:29:00","PERMAGN","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","CONS","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","RRECL","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","PRISMX","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","HRYNSHP","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","HINDADH","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","MOREALTY","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","ONEGLOBAL","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","EBIX","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","PANORAMA","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","STLSTRINF","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","WARDINMOBI","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","MAKERSL","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","LEENEE","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","NIFTYMULTIINFRA","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","POLYSPIN","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","EASTWEST","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","AUSTENG","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","JUNIORBEES","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","AMAL","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","SHARIABEES","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","AZADIND","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","MINALIND","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","NIFTYJBLK","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","ABSLPSE","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","MIDSMALL","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","NIFTYAUTO","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","NIFTY100LIQ15","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","NIFTY100","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","NIFTYCPSE","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","ICICINIFTY","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","ICICIB22","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","BBNPNBETF","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","LIQUIDBEES","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","SETFGOLD","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","ABGSEC","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","GOLDAXIS","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","QNIFTY","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","LIQUIDETF","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","ABSLNN50ET","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","MERCURYEV","NaN","NaN","NaN",0.011,"NaN","NaN"
"4th Sep'26 3:29:00","NETF","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","TOP10ADD","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","MOMENTUM50","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","METAL","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","NPBET","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","ABSLBANETF","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","DIVOPPBEES","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","LIQUIDPLUS","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","NIFTYINDDEFENCE","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","NIFTYMIDCAP150","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","NIFTY100LOWVOL30","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","NIFTYCAPITALMKT","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","BHARATBOND-APR30","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","NIFTY50EQLWGT","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","NIFTY200QUALITY30","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","NIFTYGS813YR","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","NIFTYAQLV30","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","NIFTYSML250Q50","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","NIFTYMULTIMQ50","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","NIFTYMSFINSERV","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","NIFTYNEWCONSUMP","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","NIFTYCOREHOUSING","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","NIFTY500VALUE50","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","ECAPINSURE","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","MSCIINDIA","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","MOCAPITAL","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","SELECTIPO","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","CASHIETF","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","MOMGF","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","MOPSE","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","TOP15IETF","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","GROWWNET","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","MOALPHA50","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","NIFTYCONSURDURBL","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","NIFTYALPHALOWVOL","NaN","NaN","NaN","NaN","NaN","NaN"
