"Date","Abv 10ma","Abv 20ma","Abv 50ma","Abv 200ma"
"20th Mar'25",74.28,51.48,22.95,17.46
"19th Mar'25",70.92,46.93,20.03,15.88
"18th Mar'25",44.38,29.44,13.36,13.46
"17th Mar'25",23.1,18.36,9.82,11.45
"13th Mar'25",21.74,16.64,9.51,11.29
"12th Mar'25",26.37,17.86,9.55,11.63
"11th Mar'25",30.69,19.7,9.7,12.43
"10th Mar'25",36.07,22.18,10.28,12.85
"7th Mar'25",69.07,36.91,13.06,15.04
"6th Mar'25",59.35,27.55,11.47,13.55
"5th Mar'25",35.71,17.26,7.76,11.67
"4th Mar'25",12.57,7.62,5.64,9.05
"3rd Mar'25",7.26,5.29,4.1,8.6
"28th Feb'25",6.7,5.26,4.76,9.48
