"Date","4% advance","4% decline","Net breadth","3% range","5d range","Volume","+15% in 5d","-10% in 5d","10% + 10ema","10% - 10ema"
"21st Aug'25",4.81,1.68,3.13,52.65,8.28,0.48,3.32,0.722,1.88,0.096
"20th Aug'25",8.28,1.06,7.22,51.16,7.51,0.574,3.18,1.16,2.45,0.144
"19th Aug'25",9.25,1.35,7.9,47.98,7.71,0.527,2.89,1.25,1.83,0.337
"18th Aug'25",10.55,2.83,7.72,39.23,7.87,0.747,2.49,3.21,1.44,1.06
"14th Aug'25",3.57,5.88,-2.31,44.79,9.16,0.371,1.78,3.95,1.11,1.16
"13th Aug'25",7.24,3.72,3.52,46.19,7.63,0.455,1.3,3.47,0.869,0.869
"12th Aug'25",5.45,3.96,1.5,45.44,5.98,0.353,0.724,4.05,0.627,0.868
"11th Aug'25",6.49,4.85,1.63,39.36,5.14,0.393,0.577,4.47,0.625,0.913
"8th Aug'25",3.57,5.45,-1.88,36.42,4.82,0.319,0.82,3.62,0.531,0.82
"7th Aug'25",3.86,4.34,-0.482,33.77,4.2,0.457,0.675,4.63,0.579,0.724
"6th Aug'25",2.65,6.75,-4.1,35.6,4.87,0.349,0.772,5.69,0.579,0.724
"5th Aug'25",3.57,3.14,0.434,45.99,4.68,0.296,1.06,3.47,0.772,0.821
"4th Aug'25",7.23,3.28,3.95,38.58,4.77,0.353,1.78,2.22,1.01,0.723
"1st Aug'25",2.71,8.75,-6.04,31.43,4.26,0.415,1.02,3.34,0.725,0.58
"31st Jul'25",3.93,3.98,-0.049,37.96,4.85,0.484,1.07,3.74,0.922,0.388
"30th Jul'25",6.32,2.28,4.03,48.59,3.84,0.359,1.02,4.03,1.07,0.389
"29th Jul'25",8.8,1.6,7.19,39.28,4.28,0.385,1.02,4.33,1.07,0.389
"28th Jul'25",2.32,10.28,-7.97,26.85,4.59,0.442,0.869,5.75,0.773,1.21
"25th Jul'25",1.94,7.83,-5.88,39.18,7.73,0.408,1.07,3.74,1.22,0.535
"24th Jul'25",3.55,2.97,0.583,54.21,12.88,0.384,1.46,1.94,1.46,0.292
"23rd Jul'25",3.45,2.38,1.07,57.93,12.11,0.394,1.65,1.56,1.41,0.243
"22nd Jul'25",3.99,2.53,1.46,55.11,12.99,0.411,2.38,1.22,1.9,0.389
"21st Jul'25",4.16,3.14,1.01,53.07,13.77,0.414,2.71,1.35,1.59,0.483
"18th Jul'25",3.6,1.61,2,54.43,13.05,0.371,2.43,0.925,1.66,0.195
"17th Jul'25",4.48,1.22,3.26,58.23,13.29,0.474,1.7,0.925,1.66,0.097
"16th Jul'25",6.38,1.27,5.12,58.58,12.33,0.555,1.9,0.78,1.75,0.049
"15th Jul'25",7.12,1.17,5.95,55.97,12.48,0.538,1.8,0.341,1.46,0.049
