date,time,group,changeinpercentage
2026-09-04,15:29,KECL,0.9665
2026-09-04,15:29,KENNAMET,3.4487
2026-09-04,15:29,KERNEX,6.2822
2026-09-04,15:29,KHADIM,2
2026-09-04,15:29,KHANDSE,1.4909
2026-09-04,15:29,KILITCH,4.8864
2026-09-04,15:29,KINGFA,0.7558
2026-09-04,15:29,KIRLFER,1.111
2026-09-04,15:29,KISSHT,1.3102
2026-09-04,15:29,KITEX,4.2139
2026-09-04,15:29,KKCL,2.0842
2026-09-04,15:29,KLBRENG-B,3.2212
2026-09-04,15:29,KNRCON,4.5192
2026-09-04,15:29,KOKUYOCMLN,2.7664
2026-09-04,15:29,KOTAKBANK,0.7954
2026-09-04,15:29,KOTHARIPET,1.1936
2026-09-04,15:29,KOTYARK,4.9751
2026-09-04,15:29,KPEL,2.6693
2026-09-04,15:29,KPIGREEN,1.2366
2026-09-04,15:29,KPRMILL,0.9273
2026-09-04,15:29,KREBSBIO,2.6606
2026-09-04,15:29,KRIDHANINF,0.995
2026-09-04,15:29,KRITI,1.083
2026-09-04,15:29,KRITINUT,3.7068
2026-09-04,15:29,KRN,4.8343
2026-09-04,15:29,KRONOX,0.7199
2026-09-04,15:29,KRSNAA,1.6426
2026-09-04,15:29,KSHINTL,6.3655
2026-09-04,15:29,KSHITIJPOL,4.7619
2026-09-04,15:29,KSR,9.7337
2026-09-04,15:29,LAKPRE,4.8117
2026-09-04,15:29,LANCORHOL,16.1151
2026-09-04,15:29,LANDMARK,2.4398
2026-09-04,15:29,LAOPALA,1.3699
2026-09-04,15:29,LAXMICOT,8.0252
2026-09-04,15:29,LAXMIINDIA,3.4886
2026-09-04,15:29,LCL,5.0682
2026-09-04,15:29,LENSKART,1.8514
2026-09-04,15:29,LICHSGFIN,1.4531
2026-09-04,15:29,LICMFGOLD,0.9091
2026-09-04,15:29,LIKHITHA,0.9364
2026-09-04,15:29,LKPSEC,1.731
2026-09-04,15:29,LLOYDSENT,3.1402
2026-09-04,15:29,LOKESHMACH,1.1935
2026-09-04,15:29,LORDSCHLO,3.5676
2026-09-04,15:29,LOTUSDEV,4.6631
2026-09-04,15:29,LOYALTEX,2.9837
2026-09-04,15:29,LYKALABS,1.9914
2026-09-04,15:29,MADHAV,1.4925
2026-09-04,15:29,MADHAVIPL,0.7576
2026-09-04,15:29,MAHASTEEL,1.9313
2026-09-04,15:29,MAHLOG,1.2616
2026-09-04,15:29,MAHSEAMLES,5.2946
2026-09-04,15:29,MAITHANALL,5.012
2026-09-04,15:29,MALLCOM,1.9373
2026-09-04,15:29,MAMATA,1.9775
2026-09-04,15:29,MANAKALUCO,1.1146
2026-09-04,15:29,MANAKCOAT,0.9532
2026-09-04,15:29,MANAKSIA,6.6475
2026-09-04,15:29,MANOMAY,3.5886
2026-09-04,15:29,MANORAMA,1.3782
2026-09-04,15:29,MANUGRAPH,1.0274
2026-09-04,15:29,MANYAVAR,4.5759
2026-09-04,15:29,MARALOVER,11.8893
2026-09-04,15:29,MARSONS,9.5834
2026-09-04,15:29,MASFIN,0.7858
2026-09-04,15:29,MASKINVEST,3.5458
2026-09-04,15:29,MASPTOP50,0.757
2026-09-04,15:29,MASTERTR,10.0333
2026-09-04,15:29,MAXESTATES,2.1481
2026-09-04,15:29,MAYURUNIQ,0.8301
2026-09-04,15:29,MBAPL,2.4926
2026-09-04,15:29,MCX,3.3184
2026-09-04,15:29,MEDANTA,3.7042
2026-09-04,15:29,MEDICAMEQ,4.1827
2026-09-04,15:29,MEDICAPQ,4.8246
2026-09-04,15:29,MEDICO,0.9367
2026-09-04,15:29,MEDPLUS,2.3764
2026-09-04,15:29,MEGASTAR,1.1509
2026-09-04,15:29,MENNPIS,3.769
2026-09-04,15:29,MENONBE,4.1646
2026-09-04,15:29,METAL,1.2792
2026-09-04,15:29,METALIETF,1.5152
2026-09-04,15:29,METROBRAND,1.4744
2026-09-04,15:29,MFML,1.2527
2026-09-04,15:29,MFSL,0.7417
2026-09-04,15:29,MGL,2.832
2026-09-04,15:29,MIDWESTLTD,0.7398
2026-09-04,15:29,MINALIND,4.902
2026-09-04,15:29,MITTAL,2.5641
2026-09-04,15:29,MKEXIM,3.3234
2026-09-04,15:29,MLKFOOD,1.2225
2026-09-04,15:29,MMP,2.071
2026-09-04,15:29,MMTC,2.9846
2026-09-04,15:29,MMWL,3.2694
2026-09-04,15:29,MOBIKWIK,0.7922
2026-09-04,15:29,MOCAPITAL,1.3011
2026-09-04,15:29,MODEFENCE,1.0278
2026-09-04,15:29,MODINATUR,1.9892
2026-09-04,15:29,MODTHREAD,1.8355
2026-09-04,15:29,MOGOLD,0.7302
2026-09-04,15:29,MOIPO,0.8412
2026-09-04,15:29,MOKSH,0.9018
2026-09-04,15:29,MOLDTECH,0.7959
2026-09-04,15:29,MOLDTKPAC,1.0077
2026-09-04,15:29,MOMETAL,1.2158
2026-09-04,15:29,MOMGF,1.7943
2026-09-04,15:29,MONEYBOXX,2.7613
2026-09-04,15:29,MONTECARLO,1.7805
2026-09-04,15:29,MOOILGAS,0.7136
2026-09-04,15:29,MOPSE,2.1831
2026-09-04,15:29,MOSERVICE,0.8812
2026-09-04,15:29,MOSILVER,1.2457
2026-09-04,15:29,MOTILALOFS,2.3894
2026-09-04,15:29,MOTISONS,7.2219
2026-09-04,15:29,MOTOGENFIN,2.6457
2026-09-04,15:29,MPDL,2.257
2026-09-04,15:29,MPSLTD,1.4615
2026-09-04,15:29,MSCI360,2.0875
2026-09-04,15:29,MSL,3.4102
2026-09-04,15:29,MTARTECH,5
2026-09-04,15:29,MTEDUCARE,4.7337
2026-09-04,15:29,MUFTI,3.2386
2026-09-04,15:29,MUKANDLTD,1.1055
2026-09-04,15:29,MUKKA,9.1226
2026-09-04,15:29,MUKTAARTS,4.9911
2026-09-04,15:29,MVGJL,4.6113
2026-09-04,15:29,MYSORPETRO,1.7856
2026-09-04,15:29,NAGREEKCAP,1.6616
2026-09-04,15:29,NAGREEKEXP,13.1455
2026-09-04,15:29,NAHARCAP,0.8671
2026-09-04,15:29,NATIONSTD,2.8544
2026-09-04,15:29,NAVINIFTY,3.3114
2026-09-04,15:29,NAVKARURB,1.1236
2026-09-04,15:29,NAZARA,0.7791
2026-09-04,15:29,NCC,1.6707
2026-09-04,15:29,NDGL,1.0915
2026-09-04,15:29,NDLVENTURE,1.3901
2026-09-04,15:29,NDTV,5.109
2026-09-04,15:29,NECCLTD,4.9915
2026-09-04,15:29,NETWORK18,3.0127
2026-09-04,15:29,NEUEON,2.5594
2026-09-04,15:29,NEWGEN,1.3812
2026-09-04,15:29,NGIL,0.8449
2026-09-04,15:29,NIACL,17.7034
2026-09-04,15:29,NIBE,1.1044
2026-09-04,15:29,NICCOPAR,1.7264
2026-09-04,15:29,NIFTY50DIVPOINT,1.8634
2026-09-04,15:29,NIFTYCAPITALMKT,1.1601
2026-09-04,15:29,NIFTYMETAL,1.0732
2026-09-04,15:29,NIITLTD,1.4246
2026-09-04,15:29,NIITMTS,1.3593
2026-09-04,15:29,NIPPOBATRY,2.392
2026-09-04,15:29,NITIRAJ,6.8542
2026-09-04,15:29,NKIND,1.3849
2026-09-04,15:29,NORBTEAEXP,3.1218
2026-09-04,15:29,NOVAAGRI,1.3588
