date,time,group,column1,std deviation,annual std dev,roc
2026-09-04,15:29,BRIGADE,781.2326,2.6419,36.5504,1.9508
2026-09-04,15:29,BSE,4492.539,1.9972,39.7745,46.9995
2026-09-04,15:29,BUILDPRO,3916.0864,2.9028,1.7e+308,1.7e+308
2026-09-04,15:29,BUTTERFLY,197.8352,2.6253,40.0394,-10.7931
2026-09-04,15:29,CALSOFT,166.3926,4.6968,64.5973,159.3671
2026-09-04,15:29,CAMS,430.4003,1.9249,29.6151,-2.3066
2026-09-04,15:29,CAPITALSFB,164.9662,1.698,25.4895,-7.2313
2026-09-04,15:29,CAPLIPOINT,6746.2495,2.445,33.8908,31.4441
2026-09-04,15:29,CARBORUNIV,1937.4223,2.3028,36.2734,19.5201
2026-09-04,15:29,CARERATING,1064.8379,1.8682,30.5599,8.5425
2026-09-04,15:29,CARRARO,315.3585,2.9507,44.0158,23.3018
2026-09-04,15:29,CARTRADE,3431.4212,3.3164,56.0137,14.9326
2026-09-04,15:29,CARYSIL,2402.2429,2.7453,45.7684,18.9077
2026-09-04,15:29,CASHIETF,193.8043,0.0125,0.2135,4.9988
2026-09-04,15:29,CCL,1119.7231,1.8799,32.7105,20.5011
2026-09-04,15:29,CDSL,423.5782,1.7245,31.3556,-8.4548
2026-09-04,15:29,CEIGALL,502.0305,2.2139,31.1164,29.8114
2026-09-04,15:29,CEMPRO,4169.7379,4.1048,53.5422,79.1618
2026-09-04,15:29,CENTENKA,1005.9218,2.922,36.3393,20.0749
2026-09-04,15:29,CENTUM,9701.9978,2.7455,47.8768,27.029
2026-09-04,15:29,CERA,5262.1736,1.9952,28.0207,-8.7289
2026-09-04,15:29,CGCL,700.4241,2.4054,34.712,51.7238
2026-09-04,15:29,CGPOWER,2120.3739,2.2262,34.0633,21.0105
2026-09-04,15:29,CHALET,475.6733,1.6852,29.1388,-12.1608
2026-09-04,15:29,CHEMBONDCH,688.2687,3.6143,60.8088,35.2378
2026-09-04,15:29,CHEMCON,177.3697,2.8406,47.8013,-4.7761
2026-09-04,15:29,CHENNPETRO,3783.059,3.1855,50.72,106.7483
2026-09-04,15:29,CHEVIOT,1037.5509,2.0894,27.6988,-2.5387
2026-09-04,15:29,CHOLAFIN,1214.3004,2.0341,33.3008,23.3483
2026-09-04,15:29,CIPLA,434.1216,1.4796,21.1376,-10.8407
2026-09-04,15:29,CLCIND,279.8844,21.9411,224.2842,1509.4915
2026-09-04,15:29,CLSEL,402.4927,2.8325,43.2489,4.6628
2026-09-04,15:29,CNL,3229.2444,3.3163,1.7e+308,1.7e+308
2026-09-04,15:29,CNXENERGY,30819.8456,0.8174,15.7718,10.9918
2026-09-04,15:29,CNXINFRA,1685.322,0.7631,14.8824,2.7073
2026-09-04,15:29,CNXMIDCAP,36797.3992,0.8164,16.4148,10.5192
2026-09-04,15:29,CNXMNC,12977.4369,0.8281,14.6453,7.4914
2026-09-04,15:29,CNXNIFTYJUNIOR,41057.6774,0.9044,16.8111,8.6319
2026-09-04,15:29,CNXPHARMA,29494.5272,0.8304,13.6679,20.7678
2026-09-04,15:29,CNXPSE,593.8163,0.7099,15.3978,3.2435
2026-09-04,15:29,CNXREALTY,939.8735,1.6016,26.0909,4.0573
2026-09-04,15:29,CNXSMALLCAP,23211.2352,0.9436,18.0138,13.8214
2026-09-04,15:29,COFORGE,2086.2644,2.7697,38.6975,18.9652
2026-09-04,15:29,COHANCE,465.1303,3.5753,51.7637,-50.5255
2026-09-04,15:29,COMSYN,945.4547,4.1067,50.1876,95.1298
2026-09-04,15:29,CONCOR,175.1991,1.8954,26.9042,-6.3163
2026-09-04,15:29,CONCORDBIO,1049.3336,2.5743,40.2437,-14.5141
2026-09-04,15:29,CONFIPET,313.1877,3.5129,60.9689,70.8368
2026-09-04,15:29,CONSOFINVT,751.2783,2.1579,41.2058,47.96
