date,time,group,% 3 qtr ago,% 2 qtr ago,% 1 qtr ago,% current qtr,change in 3 qtr
2026-09-04,15:29,DREAMFOLKS,0.0177,0.0096,0.5976,0.1017,0.084
2026-09-04,15:29,DREDGECORP,0.2124,0.5144,0.3758,1.0339,0.8215
2026-09-04,15:29,DSKULKARNI,0,0,0,0,0
2026-09-04,15:29,DSSL,0.2817,0.3411,0.3682,1.0771,0.7954
2026-09-04,15:29,DTIL,0,0,0,0,0
2026-09-04,15:29,DUCON,0,0,0,0,0
2026-09-04,15:29,DYCL,0.5561,0.5304,0.8964,0.6725,0.1164
2026-09-04,15:29,EASEMYTRIP,0.6464,0.5953,1.5651,6.0928,5.4464
2026-09-04,15:29,EASTSILK,0,0,0,0,0
2026-09-04,15:29,EBGNG,3.4175,2.4107,2.7782,5.272,1.8545
2026-09-04,15:29,ECLERX,10.9456,11.4325,11.818,11.0042,0.0586
2026-09-04,15:29,EIEL,0.3284,0.4022,0.5827,0.6624,0.334
2026-09-04,15:29,EIFFL,0,0,0.0472,0,0
2026-09-04,15:29,EIHOTEL,5.9254,6.1683,6.622,6.6544,0.729
2026-09-04,15:29,EIMCOELECO,0.6003,3.3918,3.0997,3.2497,2.6494
2026-09-04,15:29,ELECTHERM,20.7611,21.5843,21.5594,24.9775,4.2164
2026-09-04,15:29,ELGIRUBCO,0.0026,0.0556,0.0007,0.0047,0.0021
2026-09-04,15:29,EMAMIPAP,0.5302,0.5291,0.5291,0.5386,0.0084
2026-09-04,15:29,ENERGYDEV,0,0.005,0,0,0
2026-09-04,15:29,ENGINERSIN,7.1285,7.0011,7.7429,9.1676,2.0391
2026-09-04,15:29,ENRIN,6.1573,7.2046,7.5925,7.723,1.5657
2026-09-04,15:29,EQUIPPP,0,0,0,0,0
2026-09-04,15:29,EQUITASBNK,18.5421,17.4974,17.6058,18.5652,0.0231
2026-09-04,15:29,ESABINDIA,1.5304,1.5101,1.5547,1.6237,0.0933
2026-09-04,15:29,ESAFSFB,0.1648,0.0053,0.0053,0.317,0.1522
2026-09-04,15:29,ESCORTS,5.2733,5.2467,5.7186,6.3633,1.09
2026-09-04,15:29,ESSARSHPNG,0.003,0.0034,0.0039,0.0541,0.0511
2026-09-04,15:29,EUROBOND,0,0,0,0,0
2026-09-04,15:29,EUROTEXIND,0,0,0,0,0
2026-09-04,15:29,EVEREADY,5.2107,5.0514,5.2758,5.4406,0.2299
2026-09-04,15:29,EXPLEOSOL,0.1265,0.3225,0.4159,0.1286,0.0021
2026-09-04,15:29,FAIRCHEMOR,6.1765,6.3418,6.3452,6.3418,0.1653
2026-09-04,15:29,FCL,2.5085,2.3448,2.5242,2.9236,0.4151
2026-09-04,15:29,FCSSOFT,0.0043,0.0074,0.0051,0.0051,0.0008
2026-09-04,15:29,FEDERALBNK,25.2918,24.6918,25.7882,27.4324,2.1406
2026-09-04,15:29,FEDFINA,1.1692,0.9089,0.6577,9.3063,8.1371
2026-09-04,15:29,FEL,0.0225,0.0225,0.0239,0.0225,0
2026-09-04,15:29,FELDVR,0,0.0003,0.0001,0,0
2026-09-04,15:29,FILATFASH,0.0214,0.4601,0.5235,0.7905,0.7691
2026-09-04,15:29,FINKURVE,6.7041,6.7044,7.0253,7.2959,0.5918
2026-09-04,15:29,FLAIR,0.0465,0.2977,0.2993,0.7736,0.7271
2026-09-04,15:29,FLUOROCHEM,4.3584,4.3078,4.275,4.4122,0.0538
2026-09-04,15:29,FMNL,0,0,0,0,0
2026-09-04,15:29,FOCUS,0.0009,0.0052,0.0003,0.0276,0.0267
2026-09-04,15:29,FOSECOIND,11.5964,25.0939,25.0736,25.0771,13.4807
2026-09-04,15:29,FUSION,3.9268,4.8941,4.7418,4.7712,0.8444
2026-09-04,15:29,GAEL,2.0404,1.6031,2.1883,3.0182,0.9778
2026-09-04,15:29,GAIL,13.6209,13.9755,12.9513,14.9168,1.2959
2026-09-04,15:29,GALAPREC,1.131,1.1221,1.3261,1.3023,0.1713
2026-09-04,15:29,GANDHAR,0.1744,0.3481,0.1435,1.2757,1.1013
2026-09-04,15:29,GANDHITUBE,1.2282,1.2303,1.2317,1.2343,0.0061
2026-09-04,15:29,GANECOS,8.7857,7.2019,8.8867,10.3779,1.5922
2026-09-04,15:29,GANESHHOU,0.4335,0.5691,0.701,0.6352,0.2017
2026-09-04,15:29,GANGESSECU,0.0335,0.0335,0.0335,0.0335,0
2026-09-04,15:29,GATECH,0.1974,0.1974,0.2222,0.3474,0.15
2026-09-04,15:29,GATECHDVR,0.2151,0.2151,0.2151,0.2151,0
2026-09-04,15:29,GAYAPROJ,1.9149,1.9149,1.9149,17.9918,16.0769
2026-09-04,15:29,GCSL,0,0,1.1045,1.9915,1.9915
2026-09-04,15:29,GEEKAYWIRE,0.0056,0.0265,0.1422,0.019,0.0134
2026-09-04,15:29,GENCON,0.0046,0.0092,0.3402,0.6394,0.6348
2026-09-04,15:29,GENSOL,1.9834,2.2994,0.6337,4.8768,2.8934
2026-09-04,15:29,GESHIP,24.8791,25.7101,28.4452,31.0305,6.1514
2026-09-04,15:29,GFSTEELS,0,0,0,0,0
2026-09-04,15:29,GICRE,2.1117,2.1193,2.118,2.4311,0.3194
2026-09-04,15:29,GLAND,7.9079,7.5778,7.2979,8.74,0.8321
2026-09-04,15:29,GLENMARK,20.7346,19.1968,20.345,20.8928,0.1582
2026-09-04,15:29,GLFL,0.004,0.004,0.004,0.004,0
2026-09-04,15:29,GLOBAL,0.0315,0.4515,0.4044,0.0333,0.0018
2026-09-04,15:29,GLOBALVECT,0.0014,0.0786,0.0788,0.0788,0.0774
2026-09-04,15:29,GLOBUSSPR,6.542,6.4735,7.5259,7.4634,0.9214
2026-09-04,15:29,GLOSTERLTD,0,0,0,0,0
2026-09-04,15:29,GMBREW,0.4433,1.2056,1.1827,0.6108,0.1675
2026-09-04,15:29,GMDCLTD,3.3193,2.2947,3.7517,3.652,0.3327
2026-09-04,15:29,GMRAIRPORT,24.3093,25.3927,25.2086,24.3379,0.0286
2026-09-04,15:29,GMRP&UI,17.582,17.4481,20.7284,20.5687,2.9867
2026-09-04,15:29,GNA,0.3192,0.354,1.2726,1.6971,1.3779
2026-09-04,15:29,GNFC,12.0851,12.1269,12.0475,13.1067,1.0216
2026-09-04,15:29,GOCLCORP,5.1234,5.1228,5.0794,5.3359,0.2125
2026-09-04,15:29,GOKUL,0.2904,0.284,0.2718,0.7844,0.494
2026-09-04,15:29,GOKULAGRO,1.8712,1.5803,1.5069,1.8779,0.0067
2026-09-04,15:29,GOLDENTOBC,0.0222,0.0222,0.0222,0.0222,0
2026-09-04,15:29,GOLDIAM,0.8761,0.742,0.6232,1.9891,1.113
2026-09-04,15:29,GOLDTECH,0.0013,0.0093,6.4269,6.425,6.4237
2026-09-04,15:29,GOODLUCK,1.1946,1.968,1.48,2.4815,1.2869
2026-09-04,15:29,GOYALALUM,0,0,0,0,0
2026-09-04,15:29,GPPL,19.8167,21.0444,22.1419,22.0434,2.2267
2026-09-04,15:29,GRANULES,14.0901,13.5461,15.3119,17.4987,3.4086
2026-09-04,15:29,GRASIM,16.5576,16.7934,17.18,17.1681,0.6105
2026-09-04,15:29,GRMOVER,3.3601,4.9207,9.4983,7.282,3.9219
2026-09-04,15:29,GROWW,0,55.7079,60.3389,55.8932,55.8932
2026-09-04,15:29,GRWRHITECH,3.5752,3.9552,3.9828,4.222,0.6468
2026-09-04,15:29,GSFC,12.2908,11.9069,12.3519,12.364,0.0732
2026-09-04,15:29,GSLSU,0.5667,0.7581,1.6023,0.7561,0.1894
