Date,Breakouts,Breakdowns,Up close %,Down close %,New 52-wk high,New 52-wk low,Net nh-nl,15% 52wh,15% 52wl,Net 15% h-l,30% 52wh,30% 52 wl,Net 30% h-l
2026-01-16,15.3244,10.2163,29.1291,37.3874,1.0584,6.8109,-5.7524,14.358,42.6139,-28.2559,43.4883,60.7455,-17.2572
2026-01-14,13.6217,7.4091,33.7838,26.087,0.8744,5.6604,-4.786,14.6341,41.5094,-26.8753,43.4422,60.5614,-17.1192
2026-01-13,14.3514,6.8997,30.7692,28,0.598,5.2438,-4.6458,13.9374,41.7663,-27.8289,42.5023,60.5796,-18.0773
2026-01-12,10.22,26.9478,30.9417,21.7687,0.55,14.3905,-13.8405,13.9322,42.3006,-28.3685,41.7965,60.1283,-18.3318
2026-01-09,7.1396,24.1824,16.7742,38.8571,0.4146,9.4427,-9.0281,14.5094,41.4556,-26.9461,42.9295,59.9724,-17.0428
2026-01-08,6.1723,23.2151,19.403,44.6429,1.1055,4.514,-3.4086,15.6149,38.2773,-22.6624,45.0944,58.2681,-13.1737
2026-01-07,11.965,5.1081,41.5385,27.027,2.347,2.485,-0.1381,17.9936,35.0207,-17.0272,47.3079,55.5453,-8.2375
2026-01-06,9.1118,8.3295,35.3535,33.7017,2.6691,2.485,0.1841,17.9936,34.8827,-16.8891,46.7096,55.6374,-8.9277
2026-01-05,11.646,9.3994,37.4016,39.0244,3.4388,1.8799,1.5589,17.9734,33.5626,-15.5892,47.6845,54.7455,-7.061
2026-01-02,16.3594,3.318,43.3803,37.5,2.9493,1.0599,1.8894,18.0184,32.8111,-14.7926,48.894,54.9309,-6.0369
2026-01-01,11.2747,4.2338,42.449,33.6957,1.9328,1.0584,0.8744,16.8431,34.8827,-18.0396,47.722,56.0055,-8.2835
2025-12-31,17.6498,5.0691,36.0313,30,1.9355,1.7051,0.2304,16.5438,34.9309,-18.3871,47.0968,56.0829,-8.9862
2025-12-30,11.8894,8.7097,35.6589,32.2751,1.3825,4.1014,-2.7189,15.576,37.5576,-21.9816,44.7926,57.5115,-12.7189
2025-12-29,10.1882,12.0698,30.6306,37.6426,1.3768,3.3502,-1.9734,16.0165,36.9894,-20.9729,45.296,57.1363,-11.8403
2025-12-26,11.2955,7.2384,34.2857,33.121,1.2909,1.6598,-0.3688,15.8137,35.0392,-19.2254,46.1964,56.1088,-9.9124
2025-12-24,12.2637,4.9793,32.7068,37.037,1.8442,1.337,0.5071,16.367,34.6243,-18.2573,45.5048,56.0166,-10.5118
2025-12-23,14.3384,5.302,36.3344,32.1739,1.5214,0.8299,0.6916,16.8741,34.3015,-17.4274,45.136,55.5556,-10.4195
2025-12-22,22.2886,5.0092,40.4124,33.945,2.0221,1.1949,0.8272,16.4522,35.7077,-19.2555,43.9338,56.1581,-12.2243
2025-12-19,16.4744,4.9838,38.0952,29.6296,1.0614,3.2764,-2.215,14.4439,37.2404,-22.7965,41.4398,57.4527,-16.0129
2025-12-18,9.3764,9.8845,32.5123,28.5047,0.9238,6.6975,-5.7737,13.4873,39.261,-25.7737,39.9076,59.0762,-19.1686
2025-12-17,8.1717,10.2493,27.6836,46.8468,0.6002,4.386,-3.7858,13.8504,38.6888,-24.8384,39.7045,58.3102,-18.6057
2025-12-16,9.427,6.9316,27.9412,40.6667,0.647,2.5878,-1.9409,14.464,37.1534,-22.6895,40.8965,57.2089,-16.3124
2025-12-15,13.0415,6.0369,42.7562,32.8244,1.2442,2.1659,-0.9217,15.3456,36.682,-21.3364,41.7972,56.6359,-14.8387
2025-12-12,15.2315,4.7222,42.2492,22.549,0.9722,1.3426,-0.3704,15.2315,36.6204,-21.3889,41.1111,57.7315,-16.6204
2025-12-11,12.633,5.6918,38.4615,25.2033,0.6478,2.7302,-2.0824,14.3915,38.3619,-23.9704,39.565,58.6765,-19.1115
2025-12-10,16.3813,6.7561,23.4463,38.3562,0.509,1.7584,-1.2494,13.7899,39.4262,-25.6363,38.9172,59.8797,-20.9625
2025-12-09,23.2267,12.5174,38.523,10.7407,0.4172,13.491,-13.0737,14.0936,38.943,-24.8493,39.6384,59.0635,-19.4251
2025-12-08,8.7841,39.3897,21.0526,47.4178,1.0171,13.0837,-12.0666,12.6214,40.6842,-28.0629,38.0952,60.3791,-22.2839
2025-12-05,8.5422,10.7242,36.9565,35.0649,0.6964,7.3816,-6.6852,15.1346,37.4188,-22.2841,41.1328,57.6602,-16.5274
2025-12-04,9.0529,7.753,27.1795,35.3293,0.6035,5.7103,-5.1068,15.506,35.7939,-20.2878,41.4578,57.1031,-15.6453
2025-12-03,7.1031,10.1671,20.915,36.5297,0.6964,6.4995,-5.8032,15.6453,35.8867,-20.2414,41.9684,57.0102,-15.0418
